Model,Convenient Name,Path
openai-community/gpt2,Gpt2,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--openai-community--gpt2/snapshots/607a30d783dfa663caf39e06633721c8d4cfcd7e
openai-community/gpt2-medium,Gpt2-Medium,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--openai-community--gpt2-medium/snapshots/6dcaa7a952f72f9298047fd5137cd6e4f05f41da
openai-community/gpt2-large,Gpt2-Large,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--openai-community--gpt2-large/snapshots/32b71b12589c2f8d625668d2335a01cac3249519
openai-community/gpt2-xl,Gpt2-Xl,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--openai-community--gpt2-xl/snapshots/15ea56dee5df4983c59b2538573817e1667135e2
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,Memotron3.1-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--nvidia--Llama-3.1-Nemotron-70B-Instruct-HF/snapshots/fac73d3507320ec1258620423469b4b38f88df6e
google/gemma-2-2b,Gemma2-2B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--google--gemma-2-2b/snapshots/c5ebcd40d208330abc697524c919956e692655cf
google/gemma-2-2b-it,Gemma2-2B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--google--gemma-2-2b-it/snapshots/299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8
google/gemma-2-9b,Gemma2-9B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--google--gemma-2-9b/snapshots/33c193028431c2fde6c6e51f29e6f17b60cbfac6
google/gemma-2-9b-it,Gemma2-9B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819
google/gemma-2-27b,Gemma2-27B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--google--gemma-2-27b/snapshots/938270f5272feb02779b55c2bb2fffdd0f53ff0c
google/gemma-2-27b-it,Gemma2-27B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--google--gemma-2-27b-it/snapshots/aaf20e6b9f4c0fcf043f6fb2a2068419086d77b0
google/recurrentgemma-2b,Recurrentgemma-2B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--google--recurrentgemma-2b/snapshots/3620f4ca9c5d16ee56c00180474a3201ec7f734a
google/recurrentgemma-2b-it,Recurrentgemma-2B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--google--recurrentgemma-2b-it/snapshots/2766eb5d4264c6c0357803990791f9ab9cd50f8e
google/recurrentgemma-9b,Recurrentgemma-9B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--google--recurrentgemma-9b/snapshots/141ed2b60cc2096ab7064582f69ed80a7d104666
google/recurrentgemma-9b-it,Recurrentgemma-9B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--google--recurrentgemma-9b-it/snapshots/c079e8183308ba41c6f9454291d27a16bc0bbb23
microsoft/Phi-3.5-mini-instruct,Phi3.5-Mini-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--microsoft--Phi-3.5-mini-instruct/snapshots/af0dfb8029e8a74545d0736d30cb6b58d2f0f3f0
microsoft/Phi-3-medium-128k-instruct,Phi3-Medium-128K-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--microsoft--Phi-3-medium-128k-instruct/snapshots/fa7d2aa4f5ea69b2e36b20d050cdae79c9bfbb3f
microsoft/Phi-3-mini-128k-instruct,Phi3-Mini-128K-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--microsoft--Phi-3-mini-128k-instruct/snapshots/a90b62ae09941edff87a90ced39ba5807e6b2ade
microsoft/Phi-3.5-mini-instruct,Phi3.5-Mini-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--microsoft--Phi-3.5-mini-instruct/snapshots/af0dfb8029e8a74545d0736d30cb6b58d2f0f3f0
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--Qwen--Qwen2.5-1.5B/snapshots/8faed761d45a263340a0528343f099c05c9a4323
Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--Qwen--Qwen2.5-1.5B-Instruct/snapshots/989aa7980e4cf806f80c7fef2b1adb7bc71aa306
